partito,layer,id,macrotema,quota
Forza Italia / Tajani,Progetti di legge,12,Diritti civili e società,4.47
Forza Italia / Tajani,Progetti di legge,13,Infrastrutture e territorio,5.31
Forza Italia / Tajani,Progetti di legge,14,Cultura e patrimonio,3.35
Forza Italia / Tajani,Progetti di legge,15,Sport,0.84
Forza Italia / Tajani,Stampa,1,Politica estera e difesa,43.59
Forza Italia / Tajani,Stampa,2,Unione europea,5.05
Forza Italia / Tajani,Stampa,3,Istituzioni e assetto dello Stato,13.96
Forza Italia / Tajani,Stampa,4,Economia e finanza pubblica,3.32
Forza Italia / Tajani,Stampa,5,Lavoro e imprese,8.29
Forza Italia / Tajani,Stampa,6,Welfare e pensioni,0.48
Forza Italia / Tajani,Stampa,7,Sanità,3.26
Forza Italia / Tajani,Stampa,8,Istruzione e ricerca,2.18
Forza Italia / Tajani,Stampa,9,Ambiente ed energia,3.56
Forza Italia / Tajani,Stampa,10,Immigrazione e cittadinanza,2.16
Forza Italia / Tajani,Stampa,11,Sicurezza e criminalità,4.46
Forza Italia / Tajani,Stampa,12,Diritti civili e società,2.4
Forza Italia / Tajani,Stampa,13,Infrastrutture e territorio,3.76
Forza Italia / Tajani,Stampa,14,Cultura e patrimonio,2.07
Forza Italia / Tajani,Stampa,15,Sport,1.46
AVS / Fratoianni-Bonelli,Programmi,1,Politica estera e difesa,5.09
AVS / Fratoianni-Bonelli,Programmi,2,Unione europea,1.27
AVS / Fratoianni-Bonelli,Programmi,3,Istituzioni e assetto dello Stato,5.09
AVS / Fratoianni-Bonelli,Programmi,4,Economia e finanza pubblica,7.65
AVS / Fratoianni-Bonelli,Programmi,5,Lavoro e imprese,15.28
AVS / Fratoianni-Bonelli,Programmi,6,Welfare e pensioni,2.55
AVS / Fratoianni-Bonelli,Programmi,7,Sanità,8.28
AVS / Fratoianni-Bonelli,Programmi,8,Istruzione e ricerca,15.28
AVS / Fratoianni-Bonelli,Programmi,9,Ambiente ed energia,21.66
AVS / Fratoianni-Bonelli,Programmi,10,Immigrazione e cittadinanza,5.09
AVS / Fratoianni-Bonelli,Programmi,11,Sicurezza e criminalità,4.46
AVS / Fratoianni-Bonelli,Programmi,12,Diritti civili e società,0.64
AVS / Fratoianni-Bonelli,Programmi,13,Infrastrutture e territorio,5.73
AVS / Fratoianni-Bonelli,Programmi,14,Cultura e patrimonio,1.92
AVS / Fratoianni-Bonelli,Programmi,15,Sport,0.0
AVS / Fratoianni-Bonelli,Progetti di legge,1,Politica estera e difesa,1.72
AVS / Fratoianni-Bonelli,Progetti di legge,2,Unione europea,0.0
AVS / Fratoianni-Bonelli,Progetti di legge,3,Istituzioni e assetto dello Stato,10.34
AVS / Fratoianni-Bonelli,Progetti di legge,4,Economia e finanza pubblica,1.72
AVS / Fratoianni-Bonelli,Progetti di legge,5,Lavoro e imprese,10.34
AVS / Fratoianni-Bonelli,Progetti di legge,6,Welfare e pensioni,0.0
AVS / Fratoianni-Bonelli,Progetti di legge,7,Sanità,18.97
AVS / Fratoianni-Bonelli,Progetti di legge,8,Istruzione e ricerca,6.9
AVS / Fratoianni-Bonelli,Progetti di legge,9,Ambiente ed energia,22.41
AVS / Fratoianni-Bonelli,Progetti di legge,10,Immigrazione e cittadinanza,1.72
AVS / Fratoianni-Bonelli,Progetti di legge,11,Sicurezza e criminalità,13.79
AVS / Fratoianni-Bonelli,Progetti di legge,12,Diritti civili e società,5.17
AVS / Fratoianni-Bonelli,Progetti di legge,13,Infrastrutture e territorio,3.45
AVS / Fratoianni-Bonelli,Progetti di legge,14,Cultura e patrimonio,0.0
AVS / Fratoianni-Bonelli,Progetti di legge,15,Sport,3.45
AVS / Fratoianni-Bonelli,Stampa,1,Politica estera e difesa,19.16
AVS / Fratoianni-Bonelli,Stampa,2,Unione europea,5.11
AVS / Fratoianni-Bonelli,Stampa,3,Istituzioni e assetto dello Stato,19.24
AVS / Fratoianni-Bonelli,Stampa,4,Economia e finanza pubblica,2.96
AVS / Fratoianni-Bonelli,Stampa,5,Lavoro e imprese,11.94
AVS / Fratoianni-Bonelli,Stampa,6,Welfare e pensioni,1.42
AVS / Fratoianni-Bonelli,Stampa,7,Sanità,5.07
AVS / Fratoianni-Bonelli,Stampa,8,Istruzione e ricerca,3.44
AVS / Fratoianni-Bonelli,Stampa,9,Ambiente ed energia,7.73
AVS / Fratoianni-Bonelli,Stampa,10,Immigrazione e cittadinanza,2.92
AVS / Fratoianni-Bonelli,Stampa,11,Sicurezza e criminalità,8.33
AVS / Fratoianni-Bonelli,Stampa,12,Diritti civili e società,2.45
AVS / Fratoianni-Bonelli,Stampa,13,Infrastrutture e territorio,4.64
AVS / Fratoianni-Bonelli,Stampa,14,Cultura e patrimonio,4.3
AVS / Fratoianni-Bonelli,Stampa,15,Sport,1.29
Azione / Calenda,Programmi,1,Politica estera e difesa,5.56
Azione / Calenda,Programmi,2,Unione europea,1.19
Azione / Calenda,Programmi,3,Istituzioni e assetto dello Stato,5.95
Azione / Calenda,Programmi,4,Economia e finanza pubblica,10.71
Azione / Calenda,Programmi,5,Lavoro e imprese,26.6
Azione / Calenda,Programmi,6,Welfare e pensioni,6.74
Azione / Calenda,Programmi,7,Sanità,4.76
Azione / Calenda,Programmi,8,Istruzione e ricerca,10.71
Azione / Calenda,Programmi,9,Ambiente ed energia,6.74
Azione / Calenda,Programmi,10,Immigrazione e cittadinanza,2.38
Azione / Calenda,Programmi,11,Sicurezza e criminalità,1.98
Azione / Calenda,Programmi,12,Diritti civili e società,3.97
Azione / Calenda,Programmi,13,Infrastrutture e territorio,7.54
Azione / Calenda,Programmi,14,Cultura e patrimonio,3.18
Azione / Calenda,Programmi,15,Sport,1.98
Azione / Calenda,Progetti di legge,1,Politica estera e difesa,1.47
Azione / Calenda,Progetti di legge,2,Unione europea,5.88
Azione / Calenda,Progetti di legge,3,Istituzioni e assetto dello Stato,20.59
Azione / Calenda,Progetti di legge,4,Economia e finanza pubblica,16.18
Azione / Calenda,Progetti di legge,5,Lavoro e imprese,11.76
Azione / Calenda,Progetti di legge,6,Welfare e pensioni,0.0
Azione / Calenda,Progetti di legge,7,Sanità,13.24
Azione / Calenda,Progetti di legge,8,Istruzione e ricerca,2.94
Azione / Calenda,Progetti di legge,9,Ambiente ed energia,4.41
Azione / Calenda,Progetti di legge,10,Immigrazione e cittadinanza,5.88
Azione / Calenda,Progetti di legge,11,Sicurezza e criminalità,5.88
Azione / Calenda,Progetti di legge,12,Diritti civili e società,8.82
Azione / Calenda,Progetti di legge,13,Infrastrutture e territorio,1.47
Azione / Calenda,Progetti di legge,14,Cultura e patrimonio,1.47
Azione / Calenda,Progetti di legge,15,Sport,0.0
Azione / Calenda,Stampa,1,Politica estera e difesa,37.04
Azione / Calenda,Stampa,2,Unione europea,5.56
Azione / Calenda,Stampa,3,Istituzioni e assetto dello Stato,14.29
Azione / Calenda,Stampa,4,Economia e finanza pubblica,4.23
Azione / Calenda,Stampa,5,Lavoro e imprese,10.85
Azione / Calenda,Stampa,6,Welfare e pensioni,0.26
